"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_block_sequence","count_blockloop","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_trial_loop","count_trial_sequence","datetime","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_blockloop","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","practice","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","task","time_block_sequence","time_blockloop","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_trial_loop","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","3341","3341","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","0","0","0","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) pigeons.","b) cats.","no","The old lady feeds:","0","right","NA","space","space","right","2824","NA","2628","3858","2824","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","1","odd","0","22545","22534","NA","1560","1570","26459","30325","33405","22611","4198","33177","26222","33150","30325","26224","22546","22611","EyeTribe Reading Experiment","0","6682","2","no","1920"
"0","0","3523.25","3523.25","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","1","0","1","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) Yes.","b) No.","no","Did Joe go to rehab?","0","right","NA","space","space","right","2855","NA","2628","4556","2855","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious he denied having a problem.","1","odd","0","22545","22534","NA","1560","1570","37890","42454","45562","33572","4198","45333","37654","45310","42454","37656","22546","33571","EyeTribe Reading Experiment","0","14093","4","no","1920"
"0","0","3583","3583","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","2","2","2","2","0","2","2","2","2","2","0","2","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","2","0","2","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) fishing.","b) hiking.","no","The kids went: ","0","left","NA","space","space","left","2152","NA","2628","5253","2152","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","1","odd","0","22545","22534","NA","1560","1570","47521","52782","55177","45680","4198","54945","47270","54934","52782","47271","22546","45680","EyeTribe Reading Experiment","0","21498","6","no","1920"
"0","0","3595.5","3595.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","3","3","3","3","0","3","3","3","3","3","0","3","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","3","0","3","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) easily damaged.","b) indestructible.","no","Young people’s self-esteem is:","0","left","NA","space","space","left","2792","NA","2628","4474","2792","2","legacy","1024","2","48000","-16","experiment","9","Especially for young people long-term unemployment can damage a person’s self-esteem.","1","odd","0","22545","22534","NA","1560","1570","57011","61493","64532","55316","4198","64300","56766","64286","61493","56767","22546","55315","EyeTribe Reading Experiment","0","28764","8","no","1920"
"0","0","3543.1","3543.1","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","4","4","4","4","0","4","4","4","4","4","0","4","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","4","0","4","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) a park.","b) a lake.","no","The penguins went to:","0","left","NA","space","space","left","2221","NA","2628","4446","2221","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","1","odd","0","22545","22534","NA","1560","1570","67232","71689","74162","64655","4198","73930","66997","73911","71689","66999","22546","64654","EyeTribe Reading Experiment","0","35431","10","no","1920"
"0","0","3444.33333333","3444.33333333","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","5","5","5","5","0","5","5","5","5","5","0","5","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","5","0","5","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) math.","b) physics.","no","I hated:","0","left","NA","space","space","left","1727","NA","2628","4174","1727","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school I became a decent engineer. ","1","odd","0","22545","22534","NA","1560","1570","75943","80126","82112","74281","4198","81882","75710","81854","80126","75711","22546","74281","EyeTribe Reading Experiment","0","41332","12","no","1920"
"0","0","3382.5","3382.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","6","6","6","6","0","6","6","6","6","6","0","6","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","6","0","6","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) shabby.","b) fancy.","no","The neighborhood is:","0","right","NA","space","space","right","2287","NA","2628","3736","2287","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","1","odd","0","22545","22534","NA","1560","1570","84294","88039","90575","82236","4198","90349","84046","90327","88038","84047","22546","82236","EyeTribe Reading Experiment","0","47355","14","no","1920"
"0","0","3423.625","3423.625","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","7","7","7","7","0","7","7","7","7","7","0","7","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","7","0","7","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) No way, I am a dog person.","b) True fact, cats rule the world. ","no","What is your opinion? ","0","right","NA","space","space","right","3023","NA","2628","4400","3023","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","1","odd","0","22545","22534","NA","1560","1570","92182","96590","99866","90693","4198","99637","91942","99614","96589","91945","22546","90693","EyeTribe Reading Experiment","0","54778","16","no","1920"
"0","0","3463","3463","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","8","8","8","8","0","8","8","8","8","8","0","8","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","8","0","8","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) Policemen.","b) Soldiers.","no","Who was heavily armed?","0","right","NA","space","space","right","2983","NA","2628","4573","2983","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack heavily armed soldiers patrolled the streets of Paris.","1","odd","0","22545","22534","NA","1560","1570","102369","106951","110185","99990","4198","109957","102133","109935","106951","102135","22546","99990","EyeTribe Reading Experiment","0","62334","18","no","1920"
"0","0","3459.1","3459.1","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","9","9","9","9","0","9","9","9","9","9","0","9","07/21/17 12:24:11","Expra SS2017","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","9","0","9","C:/Users/Sebastian Korinth/Desktop/subject-1.csv","legacy","Jazzy James","3.1.4","a) Fathers.","b) Mothers.","no","Who shows protective behavior?","0","left","NA","space","space","left","2495","NA","2628","4353","2495","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","1","odd","0","22545","22534","NA","1560","1570","112100","116462","119207","110303","4198","118978","111838","118958","116462","111839","22546","110303","EyeTribe Reading Experiment","0","69182","20","no","1920"
