"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_key_finish_reading","correct_key_response","correct_response","count_block_sequence","count_blockloop","count_end_of_experiment","count_experiment","count_instructions","count_key_finish_reading","count_key_response","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_question","count_save_screen","count_trial_loop","count_trial_sequence","datetime","description","disable_garbage_collection","driftX","driftY","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_blockloop","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","option_1","option_2","practice","question","repeat_cycle","response","response_end_of_experiment","response_instructions","response_key_finish_reading","response_key_response","response_time","response_time_end_of_experiment","response_time_instructions","response_time_key_finish_reading","response_time_key_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_id","stimulus","subject_nr","subject_parity","task","time_block_sequence","time_blockloop","time_end_of_experiment","time_experiment","time_instructions","time_key_finish_reading","time_key_response","time_logger","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_question","time_save_screen","time_trial_loop","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","3045","3045","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","0","0","0","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) fishing.","b) hiking.","no","The kids went: ","0","left","NA","space","space","left","1725","NA","42057","4365","1725","2","legacy","1024","2","48000","-16","experiment","1","Tom’s father used to go fishing with his kids until they became vegetarian.","2","even","0","65128","65119","NA","1586","1595","67103","71479","73471","65195","43653","73242","66868","73205","71479","66869","65128","65195","EyeTribe Reading Experiment","0","6090","2","no","1920"
"0","0","3236.75","3236.75","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","0","1","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","1","0","1","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) math.","b) physics.","no","I hated:","0","left","NA","space","space","left","3199","NA","42057","3658","3199","2","legacy","1024","2","48000","-16","experiment","5","Although I really hated mathematics in school I became a decent engineer. ","2","even","0","65128","65119","NA","1586","1595","75082","78749","82198","73634","43653","81969","74845","81948","78748","74845","65128","73634","EyeTribe Reading Experiment","0","12947","4","no","1920"
"0","0","3400.5","3400.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","2","2","2","2","0","2","2","2","2","2","0","2","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","2","0","2","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) Fathers.","b) Mothers.","no","Who shows protective behavior?","0","left","NA","space","space","left","2271","NA","42057","5185","2271","2","legacy","1024","2","48000","-16","experiment","10","They observed that fathers of daughters show a tendency for protective behavior.","2","even","0","65128","65119","NA","1586","1595","84419","89613","92144","82312","43653","91913","84180","91885","89613","84182","65128","82312","EyeTribe Reading Experiment","0","20403","6","no","1920"
"0","0","3657.375","3657.375","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","3","3","3","3","0","3","3","3","3","3","0","3","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","3","0","3","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) No way, I am a dog person.","b) True fact, cats rule the world. ","no","What is your opinion? ","0","left","NA","space","space","left","4953","NA","42057","3903","4953","2","legacy","1024","2","48000","-16","experiment","7","Some say that the internet was initially created for sharing pictures of cute cats.","2","even","0","65128","65119","NA","1586","1595","94357","98268","103459","92276","43653","103230","94117","103221","98268","94119","65128","92276","EyeTribe Reading Experiment","0","29259","8","no","1920"
"0","0","3955.5","3955.5","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","4","4","4","4","0","4","4","4","4","4","0","4","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","4","0","4","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) easily damaged.","b) indestructible.","no","Young people’s self-esteem is:","0","left","NA","space","space","left","4528","NA","42057","5768","4528","2","legacy","1024","2","48000","-16","experiment","9","Especially for young people long-term unemployment can damage a person’s self-esteem.","2","even","0","65128","65119","NA","1586","1595","105124","110900","115670","103574","43653","115440","104885","115429","110900","104887","65128","103574","EyeTribe Reading Experiment","0","39555","10","no","1920"
"0","0","3923","3923","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","5","5","5","5","0","5","5","5","5","5","0","5","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","5","0","5","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) Policemen.","b) Soldiers.","no","Who was heavily armed?","0","right","NA","space","space","right","2686","NA","42057","4835","2686","2","legacy","1024","2","48000","-16","experiment","6","After the terror attack heavily armed soldiers patrolled the streets of Paris.","2","even","0","65128","65119","NA","1586","1595","117626","122470","125412","115795","43653","125177","117388","125159","122470","117391","65128","115794","EyeTribe Reading Experiment","0","47076","12","no","1920"
"0","0","3877.28571429","3877.28571429","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","6","6","6","6","0","6","6","6","6","6","0","6","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","6","0","6","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) Yes.","b) No.","no","Did Joe go to rehab?","0","right","NA","space","space","right","3239","NA","42057","3967","3239","2","legacy","1024","2","48000","-16","experiment","4","Even as Joe’s drug addiction became obvious he denied having a problem.","2","even","0","65128","65119","NA","1586","1595","127357","131333","134820","125535","43653","134588","127093","134576","131332","127094","65128","125535","EyeTribe Reading Experiment","0","54282","14","no","1920"
"0","0","3883.375","3883.375","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","7","7","7","7","0","7","7","7","7","7","0","7","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","7","0","7","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) pigeons.","b) cats.","no","The old lady feeds:","0","right","NA","space","space","right","2965","NA","42057","4887","2965","2","legacy","1024","2","48000","-16","experiment","2","The strange old lady who usually feeds the cats suddenly disappeared.","2","even","0","65128","65119","NA","1586","1595","136397","141295","144515","134948","43653","144286","136156","144262","141295","136158","65128","134948","EyeTribe Reading Experiment","0","62134","16","no","1920"
"0","0","3861.05555556","3861.05555556","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","left","0","0","0","0","0","8","8","8","8","0","8","8","8","8","8","0","8","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","8","0","8","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) a park.","b) a lake.","no","The penguins went to:","0","left","NA","space","space","left","2182","NA","42057","5183","2182","2","legacy","1024","2","48000","-16","experiment","3","Several penguins escaped their cages in the zoo and went for a walk in the park.","2","even","0","65128","65119","NA","1586","1595","146053","151245","153673","144638","43653","153447","145812","153430","151244","145814","65128","144638","EyeTribe Reading Experiment","0","69499","18","no","1920"
"0","0","3749.3","3749.3","#ffffff","yes","legacy","legacy","legacy","0","relative","0","undefined","0","0","right","0","0","0","0","0","9","9","9","9","0","9","9","9","9","9","0","9","07/21/17 12:32:22","eyeR example","yes","100","500","exampleExperimentReading.osexp","C:\Users\Sebastian Korinth\Desktop","no","mono","no","18","no","black","no","yes","1080","legacy","9","0","9","C:/Users/Sebastian Korinth/Desktop/subject-2.csv","legacy","Jazzy James","3.1.4","a) shabby.","b) fancy.","no","The neighborhood is:","0","right","NA","space","space","right","1750","NA","42057","3737","1750","2","legacy","1024","2","48000","-16","experiment","8","Mark and Shelley found an apartment in one of the fancy neighborhoods of London.","2","even","0","65128","65119","NA","1586","1595","155683","159430","161432","153802","43653","161205","155444","161186","159429","155446","65128","153802","EyeTribe Reading Experiment","0","74986","20","no","1920"
